Age,Gender,Occupation
51,N/A,N/A
50,Female,N/A
50,N/A,Teacher
35,Female,Doctor
76,N/A,N/A
59,Female,Artist
86,Male,Lawyer
50,Male,Nurse
56,Female,Artist
53,Male,Artist
28,N/A,Artist
50,Female,Doctor
81,N/A,Engineer
50,Female,Scientist
42,Male,Lawyer
33,Female,Scientist
26,Female,Doctor
93,Male,Engineer
50,Male,N/A
50,Female,Doctor
62,Male,N/A
96,Female,Scientist
38,Male,Lawyer
50,Male,Engineer
50,Male,Artist
82,Female,Teacher
25,Male,Doctor
62,Female,Doctor
91,Female,Doctor
50,Male,Artist
65,Female,Teacher
57,Female,Teacher
82,N/A,Engineer
73,Female,Lawyer
28,Male,Lawyer
57,Female,Engineer
87,Male,N/A
98,Female,Engineer
62,N/A,Scientist
32,Male,Engineer
21,Female,Teacher
74,Female,Artist
50,Male,Teacher
50,Female,N/A
48,Female,Doctor
50,Male,Engineer
50,Male,Artist
70,N/A,Doctor
84,Male,N/A
88,Female,Doctor
37,Female,Lawyer
96,Female,Artist
57,N/A,Lawyer
50,Female,Scientist
70,Male,N/A
98,Male,Engineer
50,Male,Scientist
55,Female,Scientist
95,Female,Scientist
29,Male,Teacher
57,Female,Engineer
76,Female,Engineer
84,N/A,Scientist
69,Male,Artist
80,Male,Doctor
58,Female,Scientist
50,Male,Doctor
57,Female,Nurse
88,Female,N/A
50,Male,Engineer
21,Male,Nurse
50,N/A,Doctor
83,Female,Doctor
50,Male,Teacher
84,Male,N/A
93,Male,Artist
94,Male,N/A
75,Female,N/A
91,N/A,N/A
100,Male,N/A
50,Male,Lawyer
21,Female,Teacher
55,N/A,Engineer
96,Male,Teacher
41,Female,Scientist
45,Female,Teacher
50,Female,Nurse
21,Male,Nurse
32,Female,Engineer
50,Male,Doctor
50,Male,Nurse
39,Male,Lawyer
36,Female,Scientist
55,Female,Doctor
93,N/A,Artist
57,Female,Nurse
58,Male,Artist
69,Female,Artist
50,N/A,Nurse
50,Female,Nurse
57,Female,Scientist
48,Female,Artist
79,Male,Artist
90,Female,Lawyer
74,Female,Lawyer
64,N/A,Doctor
47,Male,Lawyer
34,Male,Scientist
43,Female,Teacher
48,Female,Doctor
40,N/A,Teacher
50,Female,Lawyer
74,Female,Nurse
31,N/A,Lawyer
58,Female,N/A
50,Female,Doctor
57,Female,Nurse
57,Male,Nurse
70,Male,Engineer
50,Male,Engineer
31,Female,Doctor
74,Female,Doctor
63,Female,Teacher
99,Male,Doctor
50,Female,Lawyer
30,Male,Nurse
89,Male,N/A
29,Female,Scientist
63,Male,Scientist
53,Male,Teacher
50,Male,Nurse
71,Male,Nurse
70,Male,Engineer
95,Male,Artist
22,Male,Doctor
96,Male,Artist
57,Male,Doctor
90,N/A,Nurse
100,Male,Doctor
85,Male,Engineer
66,Male,N/A
26,Female,N/A
64,Female,Scientist
31,Female,Doctor
55,N/A,Scientist
72,Female,Artist
