Age,Gender,Occupation
51,,
8,F,
15,,Teacher
35,f,Doctor
76,,
59,F,Artist
86,m,Lawyer
15,m,Nurse
56,f,Artist
53,M,Artist
28,,Artist
1,F,Doctor
81,,Engineer
15,F,Scientist
42,M,Lawyer
33,Female,Scientist
26,F,Doctor
93,Male,Engineer
15,m,
50,F,Doctor
62,Male,
96,f,Scientist
38,m,Lawyer
13,Male,Engineer
13,M,Artist
82,Female,Teacher
25,m,Doctor
62,Female,Doctor
91,Female,Doctor
12,Male,Artist
65,Female,Teacher
,f,Teacher
82,,Engineer
73,Female,Lawyer
28,M,Lawyer
,F,Engineer
87,M,
98,Female,Engineer
62,,Scientist
32,Male,Engineer
21,F,Teacher
74,F,Artist
4,m,Teacher
13,Female,
48,f,Doctor
14,M,Engineer
17,m,Artist
70,,Doctor
84,m,
88,Female,Doctor
37,f,Lawyer
96,Female,Artist
,,Lawyer
16,Female,Scientist
70,m,
98,M,Engineer
12,m,Scientist
55,Female,Scientist
95,F,Scientist
29,m,Teacher
,f,Engineer
76,f,Engineer
84,,Scientist
69,m,Artist
80,Male,Doctor
58,Female,Scientist
3,M,Doctor
,F,Nurse
88,F,
13,m,Engineer
21,M,Nurse
5,,Doctor
83,Female,Doctor
10,M,Teacher
84,Male,
93,M,Artist
94,M,
75,F,
91,,
100,m,
12,m,Lawyer
21,Female,Teacher
55,,Engineer
96,M,Teacher
41,Female,Scientist
45,f,Teacher
17,Female,Nurse
21,m,Nurse
32,Female,Engineer
11,m,Doctor
11,Male,Nurse
39,m,Lawyer
36,Female,Scientist
55,Female,Doctor
93,,Artist
,F,Nurse
58,M,Artist
69,Female,Artist
10,,Nurse
15,F,Nurse
,F,Scientist
48,f,Artist
79,Male,Artist
90,F,Lawyer
74,Female,Lawyer
64,,Doctor
47,m,Lawyer
34,Male,Scientist
43,Female,Teacher
48,F,Doctor
40,,Teacher
5,f,Lawyer
74,Female,Nurse
31,,Lawyer
58,F,
16,F,Doctor
,Female,Nurse
,Male,Nurse
70,M,Engineer
3,Male,Engineer
31,Female,Doctor
74,f,Doctor
63,Female,Teacher
99,M,Doctor
11,F,Lawyer
30,m,Nurse
89,m,
29,F,Scientist
63,m,Scientist
53,Male,Teacher
9,M,Nurse
71,M,Nurse
70,M,Engineer
95,m,Artist
22,M,Doctor
96,Male,Artist
,m,Doctor
90,,Nurse
100,m,Doctor
85,Male,Engineer
66,M,
26,F,
